"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/03/2023","AQS","160010010","1","5.1","ug/m3 LC","21","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/06/2023","AQS","160010010","1","8.6","ug/m3 LC","36","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/09/2023","AQS","160010010","1","1.2","ug/m3 LC","5","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/12/2023","AQS","160010010","1","1.1","ug/m3 LC","5","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/15/2023","AQS","160010010","1","2.2","ug/m3 LC","9","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/18/2023","AQS","160010010","1","2.2","ug/m3 LC","9","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/21/2023","AQS","160010010","1","6.6","ug/m3 LC","28","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/24/2023","AQS","160010010","1","12","ug/m3 LC","50","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/27/2023","AQS","160010010","1","4.4","ug/m3 LC","18","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/30/2023","AQS","160010010","1","5.2","ug/m3 LC","22","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/02/2023","AQS","160010010","1","7.9","ug/m3 LC","33","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/05/2023","AQS","160010010","1","2.2","ug/m3 LC","9","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/08/2023","AQS","160010010","1","4","ug/m3 LC","17","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/11/2023","AQS","160010010","1","11.7","ug/m3 LC","49","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/14/2023","AQS","160010010","1","1.6","ug/m3 LC","7","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/17/2023","AQS","160010010","1","5.8","ug/m3 LC","24","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/20/2023","AQS","160010010","1","6.8","ug/m3 LC","28","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/23/2023","AQS","160010010","1","2.2","ug/m3 LC","9","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/26/2023","AQS","160010010","1","4.9","ug/m3 LC","20","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/01/2023","AQS","160010010","1","1.4","ug/m3 LC","6","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/04/2023","AQS","160010010","1","3.4","ug/m3 LC","14","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/07/2023","AQS","160010010","1","1.6","ug/m3 LC","7","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/10/2023","AQS","160010010","1","1","ug/m3 LC","4","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/13/2023","AQS","160010010","1","1.2","ug/m3 LC","5","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/16/2023","AQS","160010010","1","2.7","ug/m3 LC","11","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/19/2023","AQS","160010010","1","4.3","ug/m3 LC","18","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/22/2023","AQS","160010010","1","3.2","ug/m3 LC","13","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/25/2023","AQS","160010010","1","1.4","ug/m3 LC","6","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/28/2023","AQS","160010010","1","1.9","ug/m3 LC","8","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/31/2023","AQS","160010010","1","2.2","ug/m3 LC","9","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/03/2023","AQS","160010010","1","1","ug/m3 LC","4","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/06/2023","AQS","160010010","1","2","ug/m3 LC","8","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/09/2023","AQS","160010010","1","3.1","ug/m3 LC","13","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/12/2023","AQS","160010010","1","2.6","ug/m3 LC","11","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/15/2023","AQS","160010010","1","3.1","ug/m3 LC","13","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/18/2023","AQS","160010010","1","2.5","ug/m3 LC","10","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/21/2023","AQS","160010010","1","2.4","ug/m3 LC","10","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/24/2023","AQS","160010010","1","1.9","ug/m3 LC","8","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/27/2023","AQS","160010010","1","4.4","ug/m3 LC","18","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/30/2023","AQS","160010010","1","6.5","ug/m3 LC","27","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/03/2023","AQS","160010010","1","8.4","ug/m3 LC","35","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/06/2023","AQS","160010010","1","1.5","ug/m3 LC","6","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/09/2023","AQS","160010010","1","1.9","ug/m3 LC","8","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/12/2023","AQS","160010010","1","6.3","ug/m3 LC","26","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/15/2023","AQS","160010010","1","4.7","ug/m3 LC","20","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/18/2023","AQS","160010010","1","5","ug/m3 LC","21","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/21/2023","AQS","160010010","1","11.7","ug/m3 LC","49","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/24/2023","AQS","160010010","1","4.7","ug/m3 LC","20","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
